left_ankleX	left_earX	left_elbowX	left_eyeX	left_hipX	left_kneeX	left_shoulderX	left_wristX	noseX	right_ankleX	right_earX	right_elbowX	right_eyeX	right_hipX	right_kneeX	right_shoulderX	right_wristX	left_ankleY	left_earY	left_elbowY	left_eyeY	left_hipY	left_kneeY	left_shoulderY	left_wristY	noseY	right_ankleY	right_earY	right_elbowY	right_eyeY	right_hipY	right_kneeY	right_shoulderY	right_wristY	label
1009.400046	986.4467525	838.9561021	938.6736703	968.908453	963.8992667	982.2744799	719.8254025	927.6037967	1001.619987	982.5339031	849.7858322	936.7836142	969.7993755	967.3796582	970.7875657	758.9794207	1002.616296	280.809871	359.6063375	279.0047872	567.6128697	769.1033077	342.6777792	313.912214	298.5093284	973.4409642	283.2050622	371.9722009	280.2692986	569.216466	769.0721512	368.547138	348.7008405	0
1005.004129	988.2390117	851.2455318	944.887929	981.706459	965.5681865	1000.339253	728.4304405	930.8722144	1000.299874	984.5088752	847.3596157	942.4818251	967.9511844	961.7868067	970.6253682	799.5797489	1004.221318	279.141906	364.2060263	276.540441	575.8471143	770.5021801	339.477924	314.4748783	293.5970082	970.1672216	279.8358484	369.7160742	277.2351288	576.9640932	771.0279049	365.7771446	350.8879965	0
1007.432955	991.3295118	857.0813393	945.3478678	986.2879692	968.4328019	1000.839527	732.0083195	929.214484	1000.47503	983.4153269	847.3826704	941.64881	956.3141853	961.7621477	951.1841999	731.3525071	991.5539414	277.4236209	356.6212138	271.8608453	576.3184037	773.4656064	336.7431411	311.9442381	286.7651018	970.701313	280.9013421	370.9613184	273.1711677	575.6389943	776.084627	362.5073447	322.9027716	0
1005.889068	992.3191582	867.4224445	946.9355034	985.4142222	967.1290912	1004.173434	746.2334866	931.2866766	1000.650688	986.6591155	851.6842283	943.8612859	956.2939991	963.0461559	952.1581398	786.7993815	997.799309	279.7585127	358.450697	275.6673332	572.5155786	769.1060364	342.2684553	310.7969873	292.3971676	966.4336146	283.1578181	373.6029618	277.0224428	570.1031058	771.9508764	369.5824024	347.7413405	0
1007.803813	983.9918903	851.5335515	937.429403	983.9541043	972.7483585	992.2058818	720.538487	921.5233513	998.3836918	977.3385766	871.6489519	934.3496271	961.1565787	960.2094668	961.5329448	784.9005729	1001.549643	280.8817314	359.6174298	277.8799912	574.9635014	769.6856595	336.4723507	346.8463699	293.2928553	969.4400679	282.8251254	406.3653529	279.2839244	576.0219264	772.2659607	369.2445337	408.2741392	0
1007.906835	979.1970796	855.7990468	935.6938015	980.1934707	973.607161	984.9412105	734.6450192	924.0965484	1000.013084	976.0904712	878.3919165	934.5354947	969.6133457	964.7729335	971.2879643	781.320265	1002.528586	277.7080894	403.1460432	273.6190555	580.7268609	771.8457794	337.8561341	417.8227942	291.521857	970.2829338	276.7752935	432.7333154	273.0233332	584.258618	772.4239367	362.5712284	452.8896629	0
1008.043995	993.204741	863.6029812	948.9438538	981.7845797	972.2014992	996.0333056	737.8048129	930.9524004	998.6190162	984.4901528	871.9536191	943.9149201	964.0794246	965.3958071	960.814252	787.1048932	992.9534877	281.2206769	360.3436323	274.8787754	579.8587037	776.6743753	340.4320006	325.1798166	290.6815481	968.4466418	282.9415054	383.7273681	276.4636904	577.9660842	778.209122	369.263407	355.9428339	0
1007.590952	980.4541121	861.0377606	935.45756	980.6325991	974.2875293	983.6433971	732.7302593	924.5975306	994.3718702	977.2981462	883.4740008	933.9607323	968.4527197	959.9341773	975.7873147	783.9858368	1003.046485	277.3869157	401.7602341	273.8332776	580.1916077	775.2639786	333.6279806	427.1272339	291.6587504	971.3911549	277.3376009	428.4244786	274.0339321	582.5726009	777.227637	364.7910684	460.0368019	1
1006.989411	982.4285707	880.4288092	936.3700369	971.1878734	974.5519432	981.1902644	761.9326688	924.4841013	997.0853213	978.3510181	894.7986188	934.6200722	971.8344683	965.1738079	985.594551	808.4549231	1003.544316	276.9587698	435.1217836	272.3445289	575.2071137	775.4192095	342.0584048	483.3055895	290.0598658	971.9648931	275.6786028	457.3487038	272.305136	581.9713439	777.2790387	364.0353949	511.1279089	1
1008.072025	971.7722196	900.6219423	926.2531594	969.6291306	971.5737333	972.2157939	809.095172	915.301325	1000.529805	970.3050675	950.7320811	926.0682283	981.5859965	968.4064029	990.6693592	829.8153	1003.963643	277.5411453	463.3834226	276.0249271	575.700881	780.0413696	348.659981	550.3445265	294.6681132	972.7029834	275.543405	484.1711943	275.428554	579.3550636	779.847044	357.8444697	555.9968808	1
1008.857376	977.0793513	870.6056444	934.0791019	979.3391927	973.4064459	979.536268	737.5362246	923.6695997	993.450564	975.5322005	888.3625733	933.6529693	969.4511289	960.7411876	973.7072723	771.9660463	992.0746243	278.6679376	403.2731048	275.3625362	579.9764089	773.5864193	335.4553628	428.0663289	293.8908911	972.6142929	279.1535983	433.095316	275.4542597	582.9933316	776.2146183	362.0309841	457.032037	1
